vehicle_id;incident_id;Unit Description
747955;606202;MOTOR VEHICLE
747959;606206;MOTOR VEHICLE
747960;606206;MOTOR VEHICLE
747961;606208;MOTOR VEHICLE
747962;606208;MOTOR VEHICLE
747963;606210;MOTOR VEHICLE
747967;606210;MOTOR VEHICLE
747972;606219;MOTOR VEHICLE
747973;606219;MOTOR VEHICLE
747974;606221;MOTOR VEHICLE
747976;606221;MOTOR VEHICLE
747978;606225;MOTOR VEHICLE
747979;606226;MOTOR VEHICLE
747980;606226;MOTOR VEHICLE
747981;606228;MOTOR VEHICLE
747983;606228;MOTOR VEHICLE
747984;606228;MOTOR VEHICLE
747988;606228;MOTOR VEHICLE
747989;606236;MOTOR VEHICLE
747990;606236;MOTOR VEHICLE
747991;606238;MOTOR VEHICLE
747992;606238;MOTOR VEHICLE
747994;606241;MOTOR VEHICLE
747995;606242;MOTOR VEHICLE
747996;606242;MOTOR VEHICLE
747997;606244;MOTOR VEHICLE
747998;606244;MOTOR VEHICLE
748000;606247;MOTOR VEHICLE
748002;606247;MOTOR VEHICLE
748006;606253;MOTOR VEHICLE
748008;606255;MOTOR VEHICLE
748009;606256;MOTOR VEHICLE
748010;606256;MOTOR VEHICLE
748011;606258;MOTOR VEHICLE
748015;606258;MOTOR VEHICLE
748020;606267;MOTOR VEHICLE
748021;606267;MOTOR VEHICLE
748026;606273;MOTOR VEHICLE
748028;606273;MOTOR VEHICLE
748029;606276;MOTOR VEHICLE
748031;606276;MOTOR VEHICLE
748034;606276;MOTOR VEHICLE
748037;606276;MOTOR VEHICLE
748040;606276;MOTOR VEHICLE
748042;606276;MOTOR VEHICLE
748043;606276;MOTOR VEHICLE
748047;606276;MOTOR VEHICLE
748048;606295;MOTOR VEHICLE
748049;606295;MOTOR VEHICLE
748051;606298;MOTOR VEHICLE
748053;606298;MOTOR VEHICLE
748054;606301;MOTOR VEHICLE
748056;606301;MOTOR VEHICLE
748057;606304;MOTOR VEHICLE
748061;606304;MOTOR VEHICLE
748062;606309;MOTOR VEHICLE
748063;606309;MOTOR VEHICLE
748068;606315;MOTOR VEHICLE
748070;606315;MOTOR VEHICLE
748072;606319;MOTOR VEHICLE
748076;606319;MOTOR VEHICLE
748079;606326;MOTOR VEHICLE
748080;606326;MOTOR VEHICLE
748082;606329;MOTOR VEHICLE
748084;606329;MOTOR VEHICLE
748085;606332;MOTOR VEHICLE
748086;606332;MOTOR VEHICLE
748088;606335;MOTOR VEHICLE
748089;606335;MOTOR VEHICLE
748090;606337;MOTOR VEHICLE
748092;606337;MOTOR VEHICLE
748093;606340;MOTOR VEHICLE
748094;606340;MOTOR VEHICLE
748096;606343;MOTOR VEHICLE
748097;606343;MOTOR VEHICLE
748098;606345;MOTOR VEHICLE
748099;606346;MOTOR VEHICLE
748100;606347;MOTOR VEHICLE
748101;606347;MOTOR VEHICLE
748103;606347;MOTOR VEHICLE
748104;606351;MOTOR VEHICLE
748105;606351;MOTOR VEHICLE
748108;606355;MOTOR VEHICLE
748109;606355;MOTOR VEHICLE
748110;606357;MOTOR VEHICLE
748114;606357;MOTOR VEHICLE
748115;606357;MOTOR VEHICLE
748122;606357;MOTOR VEHICLE
748123;606357;MOTOR VEHICLE
748125;606372;MOTOR VEHICLE
748126;606372;MOTOR VEHICLE
748127;606374;MOTOR VEHICLE
748128;606374;MOTOR VEHICLE
748130;606377;MOTOR VEHICLE
748132;606377;MOTOR VEHICLE
748133;606380;MOTOR VEHICLE
748134;606380;MOTOR VEHICLE
748136;606383;MOTOR VEHICLE
748137;606384;MOTOR VEHICLE
748138;606385;MOTOR VEHICLE
748139;606385;MOTOR VEHICLE
748140;606385;MOTOR VEHICLE
748142;606389;MOTOR VEHICLE
748143;606389;MOTOR VEHICLE
748148;606395;MOTOR VEHICLE
748149;606395;MOTOR VEHICLE
748150;606395;MOTOR VEHICLE
748151;606398;MOTOR VEHICLE
748153;606398;MOTOR VEHICLE
748154;606401;MOTOR VEHICLE
748155;606401;MOTOR VEHICLE
748156;606403;MOTOR VEHICLE
748157;606403;MOTOR VEHICLE
748158;606405;MOTOR VEHICLE
748159;606405;MOTOR VEHICLE
748160;606407;MOTOR VEHICLE
748161;606407;MOTOR VEHICLE
748162;606409;MOTOR VEHICLE
748163;606409;MOTOR VEHICLE
748164;606411;MOTOR VEHICLE
748165;606411;MOTOR VEHICLE
748166;606413;MOTOR VEHICLE
748167;606413;MOTOR VEHICLE
748168;606415;MOTOR VEHICLE
748169;606415;MOTOR VEHICLE
748170;606415;MOTOR VEHICLE
748171;606418;MOTOR VEHICLE
748172;606418;MOTOR VEHICLE
748173;606420;MOTOR VEHICLE
748176;606420;MOTOR VEHICLE
748177;606420;MOTOR VEHICLE
748178;606420;MOTOR VEHICLE
748180;606427;MOTOR VEHICLE
748181;606427;MOTOR VEHICLE
748182;606429;MOTOR VEHICLE
748183;606429;MOTOR VEHICLE
748184;606431;MOTOR VEHICLE
748185;606431;MOTOR VEHICLE
748186;606433;MOTOR VEHICLE
748188;606433;MOTOR VEHICLE
748189;606436;MOTOR VEHICLE
748192;606436;MOTOR VEHICLE
748193;606440;MOTOR VEHICLE
748194;606440;MOTOR VEHICLE
748195;606440;MOTOR VEHICLE
748197;606444;MOTOR VEHICLE
748198;606444;MOTOR VEHICLE
748201;606448;MOTOR VEHICLE
748202;606448;MOTOR VEHICLE
748203;606448;MOTOR VEHICLE
748204;606451;MOTOR VEHICLE
748205;606451;MOTOR VEHICLE
748206;606453;MOTOR VEHICLE
748207;606453;MOTOR VEHICLE
748208;606455;MOTOR VEHICLE
748210;606455;MOTOR VEHICLE
748211;606458;MOTOR VEHICLE
748212;606458;MOTOR VEHICLE
748213;606460;MOTOR VEHICLE
748214;606460;MOTOR VEHICLE
748216;606463;MOTOR VEHICLE
748217;606464;MOTOR VEHICLE
748218;606464;MOTOR VEHICLE
748219;606466;MOTOR VEHICLE
748220;606467;MOTOR VEHICLE
748221;606468;MOTOR VEHICLE
748222;606468;MOTOR VEHICLE
748223;606470;MOTOR VEHICLE
748224;606470;MOTOR VEHICLE
748225;606472;MOTOR VEHICLE
748226;606472;MOTOR VEHICLE
748227;606474;MOTOR VEHICLE
748228;606474;MOTOR VEHICLE
748234;606481;MOTOR VEHICLE
748235;606481;MOTOR VEHICLE
748236;606483;MOTOR VEHICLE
748237;606483;MOTOR VEHICLE
748242;606483;MOTOR VEHICLE
748243;606490;MOTOR VEHICLE
748245;606490;MOTOR VEHICLE
748247;606494;MOTOR VEHICLE
748248;606494;MOTOR VEHICLE
748250;606497;MOTOR VEHICLE
748251;606498;MOTOR VEHICLE
748252;606499;MOTOR VEHICLE
748254;606501;MOTOR VEHICLE
748255;606501;MOTOR VEHICLE
748256;606503;MOTOR VEHICLE
748258;606503;MOTOR VEHICLE
748259;606506;MOTOR VEHICLE
748260;606506;MOTOR VEHICLE
748262;606509;MOTOR VEHICLE
748263;606509;MOTOR VEHICLE
748266;606509;MOTOR VEHICLE
748267;606514;MOTOR VEHICLE
748269;606514;MOTOR VEHICLE
748270;606517;MOTOR VEHICLE
